Timestamp,CPU_Usage,RAM_Usage,Disk_Usage,GPU_Usage
2025-12-26,16:55:39,17,47,"40.9 Kbps","6.7 Kbps","0 KB/s","216.0 KB/s"
2025-12-26,16:55:41,13,47,"41.2 Kbps","7.9 Kbps","0 KB/s","147.8 KB/s"
2025-12-26,16:55:43,11,47,"11.3 Kbps","2.8 Kbps","4.5 KB/s","52.4 KB/s"
2025-12-26,16:55:46,14,47,"22.7 Kbps","30.7 Kbps","0 KB/s","0 KB/s"
2025-12-26,16:55:48,13,47,"24.6 Kbps","31.2 Kbps","67.8 KB/s","3.1 MB/s"
2025-12-26,16:55:50,12,48,"10.4 Kbps","7.8 Kbps","0 KB/s","35.8 KB/s"
2025-12-26,16:55:52,11,48,"8.4 Kbps","7.6 Kbps","4.5 KB/s","76.2 KB/s"
2025-12-26,16:55:55,11,48,"1.0 Kbps","2.1 Kbps","0 KB/s","0 KB/s"
2025-12-26,16:55:57,14,48,"1.0 Kbps","1.9 Kbps","0 KB/s","139.4 KB/s"
2025-12-26,16:55:59,15,48,"0.4 Kbps","0.9 Kbps","0 KB/s","3.2 MB/s"
2025-12-26,16:56:02,16,48,"0.3 Kbps","0.8 Kbps","241.7 KB/s","243.2 KB/s"
2025-12-26,16:56:04,17,48,"0.2 Kbps","0.4 Kbps","15.9 KB/s","3.2 MB/s"
2025-12-26,16:56:06,17,48,"38.4 Kbps","12.3 Kbps","8.0 KB/s","0 KB/s"
2025-12-26,16:56:09,14,48,"37.8 Kbps","17.2 Kbps","0 KB/s","202.7 KB/s"
2025-12-26,16:56:11,13,48,"0.7 Kbps","10.6 Kbps","0 KB/s","0 KB/s"
2025-12-26,16:56:14,13,48,"0.6 Kbps","8.6 Kbps","4.0 KB/s","12.5 KB/s"
2025-12-26,16:56:16,12,47,"1.0 Kbps","16.4 Kbps","0 KB/s","0 KB/s"
2025-12-26,16:56:18,11,47,"12.3 Kbps","22.6 Kbps","4.4 KB/s","59.7 KB/s"
2025-12-26,16:56:20,10,47,"25.0 Kbps","19.7 Kbps","0 KB/s","3.4 MB/s"
2025-12-26,16:56:23,12,47,"13.2 Kbps","9.9 Kbps","4.5 KB/s","87.6 KB/s"
2025-12-26,16:56:25,14,47,"3.4 Kbps","3.2 Kbps","0 KB/s","242.6 KB/s"
2025-12-26,16:56:28,17,47,"3.3 Kbps","3.2 Kbps","0 KB/s","0 KB/s"
2025-12-26,16:56:30,18,47,"0.4 Kbps","0.9 Kbps","96.0 KB/s","0 KB/s"
2025-12-26,16:56:32,13,47,"8.3 Kbps","3.4 Kbps","0 KB/s","87.8 KB/s"
2025-12-26,16:56:34,11,47,"25.3 Kbps","13.7 Kbps","0 KB/s","0 KB/s"
